id;first_name;last_name;email;phone;password;is_agree_terms;is_agree_policy;created_date;updated_date;activated_date;status
1;Frederick;Feeney;Aubree.Schaden@yahoo.com;595.408.6614;Automotive;true;true;2019-07-20T20:00:24;2019-07-20T14:07:27;2019-07-21T00:16:32;false
2;Aglae;Boyle;Markus_Fisher@gmail.com;1-648-019-3216;hardware Costa Rica Mayotte;false;false;2019-07-20T10:15:20;2019-07-20T13:18:39;2019-07-20T14:55:21;false
3;Trinity;Huels;Tiffany_Metz32@hotmail.com;(515) 093-8372;generating compelling;false;true;2019-07-20T20:30:03;2019-07-21T02:54:05;2019-07-21T06:08:36;false
4;Princess;Cummerata;Afton_Yost@gmail.com;120.081.7777;Checking Account Identity deposit;true;true;2019-07-20T13:07:29;2019-07-20T18:33:59;2019-07-20T22:44:19;false
5;Austen;Bergnaum;Elvera66@yahoo.com;1-562-854-3197 x8775;compress;false;false;2019-07-20T20:58:48;2019-07-20T16:28:11;2019-07-20T23:15:52;false
6;Alda;Kessler;Collin_Bartell47@gmail.com;1-556-912-6457;User-centric;false;true;2019-07-21T02:34:17;2019-07-20T16:51:03;2019-07-21T05:39:22;true
7;Toby;Mueller;Electa87@hotmail.com;(821) 488-5381 x833;Gorgeous Profit-focused synergies;true;false;2019-07-20T12:52:05;2019-07-21T02:12:39;2019-07-21T09:21:31;false
8;Johnathon;Lesch;Jazmin.Ernser26@yahoo.com;1-291-325-5743;Engineer;true;false;2019-07-21T03:28:58;2019-07-20T16:48:51;2019-07-20T21:35:30;true
9;Elise;Cormier;Zoe60@gmail.com;540.023.9626 x15449;Persistent Bulgarian Lev;true;false;2019-07-21T03:49:20;2019-07-21T03:42:49;2019-07-20T16:02:54;true
10;Fredy;Koss;Wilmer_Nader@yahoo.com;078-135-1608 x53620;Buckinghamshire Future-proofed deposit;false;true;2019-07-20T16:56:35;2019-07-20T23:59:02;2019-07-21T00:14:38;true
